congress,chamber,rollnumber,icpsr,cast_code,prob
15,Senate,1,271,9,
15,Senate,1,420,9,
15,Senate,1,1305,1,
15,Senate,1,1448,9,
15,Senate,1,2181,1,
15,Senate,1,2296,1,
15,Senate,1,2316,9,
15,Senate,1,2561,1,
15,Senate,1,2871,9,
15,Senate,1,2977,9,
15,Senate,1,3173,1,
15,Senate,1,3377,9,
15,Senate,1,3423,1,
15,Senate,1,3655,1,
15,Senate,1,4044,9,
15,Senate,1,4586,9,
15,Senate,1,4762,9,
15,Senate,1,5270,1,
15,Senate,1,5392,1,
15,Senate,1,5542,1,
15,Senate,1,5895,1,
15,Senate,1,6693,1,
15,Senate,1,6728,1,
15,Senate,1,6941,1,
15,Senate,1,7108,1,
15,Senate,1,7953,1,
15,Senate,1,8107,1,
15,Senate,1,8211,1,
15,Senate,1,8694,1,
15,Senate,1,8971,1,
15,Senate,1,8993,1,
15,Senate,1,9157,1,
15,Senate,1,9159,9,
15,Senate,1,9233,1,
15,Senate,1,9297,9,
15,Senate,1,9378,1,
15,Senate,1,9482,1,
15,Senate,1,9613,9,
15,Senate,1,10160,1,
15,Senate,1,10182,1,
15,Senate,1,10235,9,
15,Senate,2,271,9,
15,Senate,2,420,9,
15,Senate,2,1305,1,
15,Senate,2,1448,1,
15,Senate,2,2181,1,
15,Senate,2,2296,1,
15,Senate,2,2316,9,
15,Senate,2,2561,1,
15,Senate,2,2871,9,
15,Senate,2,2977,1,
15,Senate,2,3173,1,
15,Senate,2,3377,9,
15,Senate,2,3423,1,
15,Senate,2,3655,1,
15,Senate,2,4044,9,
15,Senate,2,4586,9,
15,Senate,2,4762,9,
15,Senate,2,5270,1,
15,Senate,2,5392,1,
15,Senate,2,5542,1,
15,Senate,2,5895,1,
15,Senate,2,6693,1,
15,Senate,2,6728,1,
15,Senate,2,6941,1,
15,Senate,2,7108,1,
15,Senate,2,7953,1,
15,Senate,2,8107,1,
15,Senate,2,8211,1,
15,Senate,2,8694,1,
15,Senate,2,8971,1,
15,Senate,2,8993,1,
15,Senate,2,9157,1,
15,Senate,2,9159,1,
15,Senate,2,9233,1,
15,Senate,2,9297,9,
15,Senate,2,9378,1,
15,Senate,2,9482,1,
15,Senate,2,9613,9,
15,Senate,2,10160,1,
15,Senate,2,10182,1,
15,Senate,2,10235,9,
15,Senate,3,271,1,
15,Senate,3,420,9,
15,Senate,3,1305,1,
15,Senate,3,1448,1,
15,Senate,3,2181,1,
15,Senate,3,2296,1,
15,Senate,3,2316,9,
15,Senate,3,2561,1,
15,Senate,3,2871,9,
15,Senate,3,2977,1,
15,Senate,3,3173,1,
15,Senate,3,3377,9,
15,Senate,3,3423,1,
15,Senate,3,3655,1,
15,Senate,3,4044,9,
15,Senate,3,4586,9,
15,Senate,3,4762,9,
15,Senate,3,5270,1,
15,Senate,3,5392,1,
15,Senate,3,5542,1,
15,Senate,3,5895,1,
15,Senate,3,6693,1,
