congress,chamber,rollnumber,icpsr,cast_code,prob
62,Senate,1,322,1,100.0
62,Senate,1,347,1,100.0
62,Senate,1,403,2,99.9
62,Senate,1,858,1,100.0
62,Senate,1,885,9,99.9
62,Senate,1,960,1,92.2
62,Senate,1,978,6,69.4
62,Senate,1,1030,1,76.1
62,Senate,1,1046,1,100.0
62,Senate,1,1129,1,100.0
62,Senate,1,1177,1,99.9
62,Senate,1,1295,6,25.6
62,Senate,1,1322,1,97.9
62,Senate,1,1622,1,100.0
62,Senate,1,1697,1,100.0
62,Senate,1,1746,1,100.0
62,Senate,1,1757,1,97.3
62,Senate,1,1793,9,100.0
62,Senate,1,2147,1,48.9
62,Senate,1,2158,2,100.0
62,Senate,1,2229,1,100.0
62,Senate,1,2239,1,96.5
62,Senate,1,2252,9,100.0
62,Senate,1,2269,1,98.8
62,Senate,1,2392,1,100.0
62,Senate,1,2597,1,66.9
62,Senate,1,2620,1,99.7
62,Senate,1,2781,1,72.4
62,Senate,1,3216,1,100.0
62,Senate,1,3312,1,98.9
62,Senate,1,3385,9,92.4
62,Senate,1,3439,6,18.7
62,Senate,1,3447,1,99.6
62,Senate,1,3706,1,100.0
62,Senate,1,3849,1,100.0
62,Senate,1,3873,1,88.0
62,Senate,1,4377,6,16.7
62,Senate,1,4454,1,100.0
62,Senate,1,4947,1,100.0
62,Senate,1,5007,1,99.7
62,Senate,1,5065,1,99.9
62,Senate,1,5198,1,100.0
62,Senate,1,5201,1,100.0
62,Senate,1,5401,1,100.0
62,Senate,1,5533,9,100.0
62,Senate,1,5693,1,60.9
62,Senate,1,5738,9,74.1
62,Senate,1,5781,9,94.5
62,Senate,1,6040,1,99.9
62,Senate,1,6045,1,100.0
62,Senate,1,6208,1,99.0
62,Senate,1,6335,9,85.4
62,Senate,1,6837,1,100.0
62,Senate,1,6870,1,99.8
62,Senate,1,6897,9,100.0
62,Senate,1,6937,1,95.5
62,Senate,1,7038,9,100.0
62,Senate,1,7060,1,56.6
62,Senate,1,7120,1,100.0
62,Senate,1,7133,1,100.0
62,Senate,1,7152,1,96.4
62,Senate,1,7276,1,100.0
62,Senate,1,7332,6,30.1
62,Senate,1,7337,2,99.9
62,Senate,1,7345,1,99.3
62,Senate,1,7502,1,100.0
62,Senate,1,7516,1,100.0
62,Senate,1,7757,1,99.9
62,Senate,1,7786,1,100.0
62,Senate,1,7876,9,78.7
62,Senate,1,8055,9,82.9
62,Senate,1,8478,1,100.0
62,Senate,1,8514,1,100.0
62,Senate,1,8613,9,100.0
62,Senate,1,8658,1,98.8
62,Senate,1,8698,1,99.2
62,Senate,1,8713,1,88.3
62,Senate,1,8893,9,95.5
62,Senate,1,8989,1,100.0
62,Senate,1,9092,1,93.5
62,Senate,1,9106,9,100.0
62,Senate,1,9229,1,100.0
62,Senate,1,9260,9,100.0
62,Senate,1,9359,1,98.5
62,Senate,1,9386,9,100.0
62,Senate,1,9434,1,99.7
62,Senate,1,9842,1,89.2
62,Senate,1,9870,1,100.0
62,Senate,1,9970,1,67.9
62,Senate,1,10165,1,100.0
62,Senate,1,10372,1,100.0
62,Senate,2,322,8,
62,Senate,2,347,1,
62,Senate,2,403,9,
62,Senate,2,858,9,
62,Senate,2,885,9,
62,Senate,2,960,2,
62,Senate,2,978,2,
62,Senate,2,1030,2,
62,Senate,2,1046,8,
