congress,chamber,rollnumber,icpsr,cast_code,prob
25,Senate,1,130,1,99.5
25,Senate,1,527,6,48.6
25,Senate,1,658,1,98.8
25,Senate,1,747,9,9.4
25,Senate,1,1098,1,99.3
25,Senate,1,1186,1,97.1
25,Senate,1,1418,9,94.5
25,Senate,1,1810,6,72.9
25,Senate,1,1825,9,97.9
25,Senate,1,2181,6,31.7
25,Senate,1,2284,1,99.0
25,Senate,1,2394,9,96.8
25,Senate,1,3411,1,99.4
25,Senate,1,3865,1,99.1
25,Senate,1,4667,1,99.7
25,Senate,1,5194,6,41.5
25,Senate,1,5266,1,98.5
25,Senate,1,5275,1,99.4
25,Senate,1,5339,9,95.2
25,Senate,1,5689,1,99.7
25,Senate,1,5866,1,98.1
25,Senate,1,6286,1,71.7
25,Senate,1,6310,9,99.0
25,Senate,1,6716,1,97.4
25,Senate,1,6770,1,99.7
25,Senate,1,6912,1,97.8
25,Senate,1,6931,9,98.5
25,Senate,1,6977,1,99.6
25,Senate,1,7202,1,99.2
25,Senate,1,7435,9,99.7
25,Senate,1,7600,9,97.9
25,Senate,1,7608,1,72.1
25,Senate,1,7929,1,94.8
25,Senate,1,7940,1,10.8
25,Senate,1,7983,1,98.4
25,Senate,1,8109,1,92.3
25,Senate,1,8373,9,99.2
25,Senate,1,8674,1,31.5
25,Senate,1,8675,1,99.4
25,Senate,1,8752,6,95.0
25,Senate,1,8779,6,37.3
25,Senate,1,9012,9,98.7
25,Senate,1,9124,6,82.2
25,Senate,1,9172,1,89.0
25,Senate,1,9396,9,86.7
25,Senate,1,9753,1,99.4
25,Senate,1,9757,1,98.2
25,Senate,1,9903,9,95.1
25,Senate,1,10029,1,94.7
25,Senate,1,10174,1,96.3
25,Senate,1,10398,1,99.7
25,Senate,1,10453,1,99.3
25,Senate,2,130,1,100.0
25,Senate,2,527,6,74.9
25,Senate,2,658,1,100.0
25,Senate,2,747,9,0.0
25,Senate,2,1098,1,100.0
25,Senate,2,1186,1,100.0
25,Senate,2,1418,9,100.0
25,Senate,2,1810,6,99.5
25,Senate,2,1825,6,84.2
