congress,chamber,rollnumber,icpsr,cast_code,prob
65,Senate,1,273,1,100.0
65,Senate,1,403,2,100.0
65,Senate,1,564,1,100.0
65,Senate,1,858,2,89.0
65,Senate,1,964,1,95.5
65,Senate,1,978,1,99.9
65,Senate,1,1092,1,100.0
65,Senate,1,1399,1,100.0
65,Senate,1,1622,1,100.0
65,Senate,1,1957,1,100.0
65,Senate,1,2229,2,100.0
65,Senate,1,2252,1,94.9
65,Senate,1,2269,1,97.6
65,Senate,1,2597,2,100.0
65,Senate,1,3053,1,100.0
65,Senate,1,3113,2,99.2
65,Senate,1,3216,9,100.0
65,Senate,1,3332,1,88.2
65,Senate,1,3363,1,99.9
65,Senate,1,3439,9,100.0
65,Senate,1,3544,1,100.0
65,Senate,1,3646,2,99.8
65,Senate,1,3706,9,100.0
65,Senate,1,3849,6,56.7
65,Senate,1,3919,1,100.0
65,Senate,1,4059,1,99.9
65,Senate,1,4060,1,100.0
65,Senate,1,4454,1,100.0
65,Senate,1,4525,1,100.0
65,Senate,1,4707,1,100.0
65,Senate,1,4776,1,100.0
65,Senate,1,4885,1,100.0
65,Senate,1,4950,9,100.0
65,Senate,1,5023,1,100.0
65,Senate,1,5065,1,97.7
65,Senate,1,5143,1,100.0
65,Senate,1,5172,1,100.0
65,Senate,1,5198,1,76.4
65,Senate,1,5274,1,100.0
65,Senate,1,5290,1,100.0
65,Senate,1,5347,1,99.7
65,Senate,1,5401,6,33.2
65,Senate,1,5441,1,98.5
65,Senate,1,5641,1,100.0
65,Senate,1,5738,1,100.0
65,Senate,1,6040,1,100.0
65,Senate,1,6208,1,100.0
65,Senate,1,6293,1,100.0
65,Senate,1,6335,1,100.0
65,Senate,1,6837,1,100.0
65,Senate,1,6870,1,100.0
65,Senate,1,6887,1,99.9
65,Senate,1,6897,1,100.0
65,Senate,1,6960,1,60.4
65,Senate,1,7120,1,100.0
65,Senate,1,7133,1,100.0
65,Senate,1,7152,1,100.0
65,Senate,1,7332,1,99.9
65,Senate,1,7395,2,100.0
65,Senate,1,7473,1,100.0
65,Senate,1,7502,1,99.8
65,Senate,1,7516,1,100.0
65,Senate,1,7734,1,100.0
65,Senate,1,7786,1,100.0
65,Senate,1,7986,1,100.0
65,Senate,1,8224,1,100.0
65,Senate,1,8394,1,100.0
65,Senate,1,8446,1,100.0
65,Senate,1,8456,6,44.0
65,Senate,1,8471,1,100.0
65,Senate,1,8514,1,100.0
65,Senate,1,8613,1,100.0
65,Senate,1,8633,1,100.0
65,Senate,1,8658,1,100.0
65,Senate,1,8665,2,100.0
65,Senate,1,8698,2,99.9
65,Senate,1,8713,1,100.0
65,Senate,1,8902,1,100.0
65,Senate,1,8989,1,100.0
65,Senate,1,9093,1,99.6
65,Senate,1,9106,1,100.0
65,Senate,1,9288,1,100.0
65,Senate,1,9347,1,100.0
65,Senate,1,9386,2,100.0
65,Senate,1,9434,1,99.7
65,Senate,1,9456,1,100.0
65,Senate,1,9560,1,100.0
65,Senate,1,9646,1,100.0
65,Senate,1,9705,1,100.0
65,Senate,1,9788,2,100.0
65,Senate,1,9842,1,100.0
65,Senate,1,9875,1,99.4
65,Senate,1,9911,2,100.0
