session,trial,person_001,person_002,person_003,person_004,person_005,person_006,person_007,person_008,person_009,person_010,person_011,person_012,person_013,person_014,person_015,person_016,person_017,person_018,person_019
001,1,0.5671641791044776,0.5671641791044776,0.5671641791044776,0.5223880597014925,0.746268656716418,0.7313432835820896,0.5373134328358209,0.746268656716418,0.7611940298507462,0.835820895522388,0.7910447761194029,0.6716417910447762,0.7910447761194029,0.746268656716418,0.8507462686567164,0.8059701492537313,0.8507462686567164,0.8507462686567164,0.8656716417910447
001,2,0.5671641791044776,0.5671641791044776,0.5671641791044776,0.5522388059701493,0.7910447761194029,0.7164179104477612,0.7164179104477612,0.7164179104477612,0.7164179104477612,0.746268656716418,0.835820895522388,0.835820895522388,0.8059701492537313,0.8059701492537313,0.8059701492537313,0.7910447761194029,0.7910447761194029,0.8059701492537313,0.7611940298507462
001,3,0.43283582089552236,0.43283582089552236,0.47761194029850745,0.6268656716417911,0.6119402985074627,0.5970149253731343,0.6716417910447762,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7313432835820896,0.7611940298507462,0.746268656716418,0.746268656716418,0.8059701492537313,0.8656716417910447,0.8805970149253731,0.8656716417910447,0.8656716417910447
001,4,0.5671641791044776,0.5671641791044776,0.5074626865671642,0.5970149253731343,0.7164179104477612,0.746268656716418,0.7910447761194029,0.6119402985074627,0.7164179104477612,0.7164179104477612,0.7164179104477612,0.7164179104477612,0.7164179104477612,0.8208955223880597,0.8507462686567164,0.8656716417910447,0.8507462686567164,0.8805970149253731,0.8656716417910447
001,5,0.5671641791044776,0.5671641791044776,0.7014925373134329,0.7910447761194029,0.746268656716418,0.6716417910447762,0.7910447761194029,0.582089552238806,0.6716417910447762,0.5970149253731343,0.6119402985074627,0.582089552238806,0.6119402985074627,0.6417910447761194,0.7910447761194029,0.835820895522388,0.835820895522388,0.835820895522388,0.835820895522388
001,6,0.5671641791044776,0.6567164179104478,0.6417910447761194,0.7761194029850746,0.7014925373134329,0.835820895522388,0.7014925373134329,0.6417910447761194,0.7014925373134329,0.835820895522388,0.7014925373134329,0.7313432835820896,0.6119402985074627,0.6268656716417911,0.7761194029850746,0.746268656716418,0.7761194029850746,0.746268656716418,0.7910447761194029
001,7,0.43283582089552236,0.43283582089552236,0.43283582089552236,0.43283582089552236,0.43283582089552236,0.5223880597014925,0.8059701492537313,0.8059701492537313,0.5223880597014925,0.5223880597014925,0.582089552238806,0.8208955223880597,0.5522388059701493,0.7910447761194029,0.7910447761194029,0.7910447761194029,0.7761194029850746,0.7910447761194029,0.7910447761194029
001,8,0.43283582089552236,0.47761194029850745,0.47761194029850745,0.3582089552238806,0.5373134328358209,0.835820895522388,0.8059701492537313,0.47761194029850745,0.835820895522388,0.6417910447761194,0.6268656716417911,0.6119402985074627,0.6119402985074627,0.7761194029850746,0.8507462686567164,0.8507462686567164,0.8507462686567164,0.8507462686567164,0.8507462686567164
001,9,0.5671641791044776,0.47761194029850745,0.4626865671641791,0.6417910447761194,0.7761194029850746,0.5373134328358209,0.835820895522388,0.7761194029850746,0.835820895522388,0.7761194029850746,0.7611940298507462,0.7910447761194029,0.7761194029850746,0.7164179104477612,0.7313432835820896,0.835820895522388,0.8208955223880597,0.7910447761194029,0.8656716417910447
001,10,0.5671641791044776,0.5671641791044776,0.5970149253731343,0.7611940298507462,0.746268656716418,0.7761194029850746,0.835820895522388,0.746268656716418,0.746268656716418,0.7313432835820896,0.7761194029850746,0.7313432835820896,0.746268656716418,0.7761194029850746,0.746268656716418,0.8208955223880597,0.7910447761194029,0.8208955223880597,0.8208955223880597
001,mean,0.5268656716417911,0.5313432835820895,0.5432835820895522,0.6059701492537313,0.6805970149253731,0.6970149253731343,0.7492537313432835,0.6880597014925374,0.7283582089552239,0.717910447761194,0.7134328358208956,0.7253731343283583,0.6970149253731344,0.7447761194029852,0.8,0.8208955223880595,0.8223880597014925,0.8238805970149254,0.8313432835820895
001,std_dev,0.061556986947168,0.06878637983165918,0.082075982596224,0.13796083591989663,0.11072977308054573,0.1074315875398693,0.08900329263209297,0.10022251918925101,0.08568776175765566,0.09706083873366633,0.07920298006818864,0.07959577090133362,0.08652855546648204,0.062419473630825326,0.040160071782309584,0.03594505844415609,0.03497126720555219,0.03880597014925372,0.03659000200636198
002,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5416666666666666,0.5833333333333334,0.5416666666666666,0.6111111111111112,0.6111111111111112,0.5972222222222222,0.5833333333333334,0.5833333333333334,0.75,0.6388888888888888,0.6388888888888888,0.6388888888888888
002,2,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.7638888888888888,0.6805555555555556,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.7638888888888888,0.75,0.75,0.75,0.75,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.8194444444444444
002,3,0.4444444444444444,0.5,0.4166666666666667,0.4861111111111111,0.8055555555555556,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7777777777777778,0.875,0.8333333333333334,0.8611111111111112,0.8333333333333334,0.8333333333333334,0.8194444444444444
002,4,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7638888888888888,0.7222222222222222,0.75,0.75,0.75,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.7638888888888888,0.75
002,5,0.4444444444444444,0.6944444444444444,0.5416666666666666,0.7638888888888888,0.5138888888888888,0.7638888888888888,0.7638888888888888,0.5138888888888888,0.7638888888888888,0.5138888888888888,0.5138888888888888,0.7361111111111112,0.8333333333333334,0.7361111111111112,0.8194444444444444,0.8611111111111112,0.8055555555555556,0.8055555555555556,0.8055555555555556
002,6,0.5555555555555556,0.75,0.7083333333333334,0.6805555555555556,0.7638888888888888,0.625,0.6944444444444444,0.625,0.625,0.6944444444444444,0.625,0.625,0.625,0.625,0.7222222222222222,0.7222222222222222,0.7361111111111112,0.6805555555555556,0.7638888888888888
002,7,0.4444444444444444,0.5833333333333334,0.5833333333333334,0.5694444444444444,0.5694444444444444,0.5694444444444444,0.5694444444444444,0.7777777777777778,0.6388888888888888,0.7638888888888888,0.6388888888888888,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7916666666666666,0.7638888888888888,0.7222222222222222,0.7916666666666666,0.7916666666666666
