congress,chamber,rollnumber,icpsr,cast_code,prob
72,House,1,12,1,
72,House,1,48,2,
72,House,1,72,2,
72,House,1,114,2,
72,House,1,137,1,
72,House,1,143,1,
72,House,1,156,5,
72,House,1,188,2,
72,House,1,189,2,
72,House,1,200,2,
72,House,1,228,2,
72,House,1,252,1,
72,House,1,292,1,
72,House,1,309,1,
72,House,1,318,2,
72,House,1,321,2,
72,House,1,327,2,
72,House,1,378,2,
72,House,1,406,1,
72,House,1,419,2,
72,House,1,499,1,
72,House,1,548,1,
72,House,1,561,2,
72,House,1,577,2,
72,House,1,581,2,
72,House,1,749,1,
72,House,1,785,1,
72,House,1,788,1,
72,House,1,802,1,
72,House,1,820,1,
72,House,1,826,2,
72,House,1,828,2,
72,House,1,831,1,
72,House,1,836,2,
72,House,1,918,2,
72,House,1,938,1,
72,House,1,975,2,
72,House,1,976,1,
72,House,1,1029,1,
72,House,1,1048,2,
72,House,1,1147,1,
72,House,1,1163,2,
72,House,1,1166,1,
72,House,1,1188,1,
72,House,1,1201,2,
72,House,1,1235,1,
72,House,1,1245,1,
72,House,1,1251,2,
72,House,1,1314,2,
72,House,1,1326,1,
72,House,1,1347,2,
72,House,1,1372,1,
72,House,1,1382,2,
72,House,1,1446,2,
72,House,1,1449,2,
72,House,1,1477,1,
72,House,1,1479,1,
72,House,1,1499,1,
72,House,1,1506,1,
72,House,1,1545,2,
72,House,1,1552,2,
72,House,1,1556,1,
72,House,1,1563,1,
72,House,1,1609,2,
72,House,1,1611,1,
72,House,1,1659,1,
72,House,1,1668,2,
72,House,1,1678,1,
72,House,1,1698,2,
72,House,1,1701,2,
72,House,1,1713,2,
72,House,1,1718,2,
72,House,1,1734,2,
72,House,1,1744,2,
72,House,1,1771,1,
72,House,1,1795,2,
72,House,1,1882,1,
72,House,1,1883,2,
72,House,1,1922,2,
72,House,1,1930,1,
72,House,1,1942,1,
72,House,1,1949,1,
72,House,1,1958,2,
72,House,1,1976,1,
72,House,1,1996,1,
72,House,1,2000,2,
72,House,1,2028,2,
72,House,1,2049,1,
72,House,1,2051,2,
72,House,1,2074,1,
72,House,1,2111,1,
72,House,1,2123,2,
72,House,1,2140,2,
72,House,1,2178,1,
72,House,1,2198,1,
72,House,1,2199,1,
72,House,1,2207,1,
72,House,1,2215,2,
72,House,1,2222,1,
72,House,1,2234,2,
72,House,1,2236,1,
72,House,1,2262,2,
72,House,1,2306,2,
72,House,1,2347,2,
72,House,1,2352,2,
72,House,1,2379,1,
72,House,1,2477,1,
72,House,1,2521,2,
72,House,1,2522,1,
72,House,1,2568,1,
72,House,1,2585,1,
72,House,1,2588,1,
72,House,1,2589,1,
72,House,1,2611,1,
72,House,1,2651,1,
72,House,1,2684,1,
72,House,1,2690,1,
72,House,1,2694,1,
72,House,1,2695,2,
72,House,1,2701,2,
72,House,1,2712,1,
72,House,1,2717,1,
72,House,1,2726,1,
72,House,1,2732,1,
