congress,chamber,rollnumber,icpsr,cast_code,prob
38,House,1,111,1,100.0
38,House,1,133,1,100.0
38,House,1,136,6,100.0
38,House,1,141,6,100.0
38,House,1,155,6,100.0
38,House,1,157,1,99.9
38,House,1,178,6,100.0
38,House,1,240,6,100.0
38,House,1,266,6,100.0
38,House,1,346,6,60.9
38,House,1,380,1,90.4
38,House,1,386,6,100.0
38,House,1,522,6,100.0
38,House,1,549,6,100.0
38,House,1,760,6,100.0
38,House,1,764,9,6.9
38,House,1,766,9,92.0
38,House,1,796,1,99.9
38,House,1,808,9,100.0
38,House,1,889,6,100.0
38,House,1,932,9,100.0
38,House,1,977,6,100.0
38,House,1,1078,1,96.0
38,House,1,1086,6,100.0
38,House,1,1112,6,5.8
38,House,1,1137,9,48.0
38,House,1,1645,1,100.0
38,House,1,1752,6,100.0
38,House,1,1792,6,100.0
38,House,1,1807,6,20.7
38,House,1,1863,6,100.0
38,House,1,1908,1,95.9
38,House,1,1921,6,100.0
38,House,1,1938,6,100.0
38,House,1,2118,1,97.6
38,House,1,2153,1,94.8
38,House,1,2173,9,100.0
38,House,1,2385,9,99.2
38,House,1,2414,6,99.2
38,House,1,2423,6,100.0
38,House,1,2428,1,97.8
38,House,1,2487,6,100.0
38,House,1,2495,1,100.0
38,House,1,2623,6,100.0
38,House,1,2658,6,100.0
38,House,1,2728,6,100.0
38,House,1,2753,6,100.0
38,House,1,2837,6,100.0
38,House,1,2843,1,99.9
38,House,1,2847,1,100.0
38,House,1,2892,1,100.0
38,House,1,2895,6,100.0
38,House,1,2968,1,84.0
38,House,1,3064,6,100.0
38,House,1,3107,6,100.0
38,House,1,3142,1,99.7
38,House,1,3337,6,100.0
38,House,1,3454,1,81.8
38,House,1,3473,6,100.0
38,House,1,3663,6,100.0
38,House,1,3815,1,97.2
38,House,1,3837,6,100.0
38,House,1,3844,6,80.8
38,House,1,3920,6,99.6
38,House,1,3961,9,99.7
38,House,1,4055,1,98.6
38,House,1,4094,1,96.4
38,House,1,4096,9,99.7
38,House,1,4098,1,98.5
38,House,1,4361,1,99.4
38,House,1,4396,6,100.0
38,House,1,4529,1,97.3
38,House,1,4559,6,100.0
38,House,1,4597,6,100.0
38,House,1,4662,6,100.0
38,House,1,4669,6,100.0
38,House,1,4713,6,100.0
38,House,1,4780,1,89.8
38,House,1,4907,6,100.0
38,House,1,4986,1,100.0
38,House,1,5014,1,99.8
38,House,1,5085,6,100.0
38,House,1,5092,1,100.0
38,House,1,5100,6,100.0
38,House,1,5140,6,100.0
38,House,1,5142,6,100.0
38,House,1,5144,6,100.0
38,House,1,5202,1,81.3
38,House,1,5254,1,93.5
38,House,1,5328,1,100.0
38,House,1,5502,1,99.9
38,House,1,5530,1,97.3
38,House,1,5550,1,100.0
38,House,1,5707,6,100.0
38,House,1,5729,9,100.0
38,House,1,5753,1,100.0
38,House,1,5771,6,100.0
38,House,1,5797,6,100.0
38,House,1,5940,1,97.0
38,House,1,5978,1,99.8
38,House,1,6048,6,99.8
38,House,1,6121,1,82.5
38,House,1,6127,9,100.0
38,House,1,6163,9,100.0
38,House,1,6226,1,99.3
38,House,1,6275,6,100.0
38,House,1,6315,1,100.0
38,House,1,6460,1,94.3
38,House,1,6506,6,100.0
38,House,1,6517,1,100.0
38,House,1,6660,6,100.0
38,House,1,6696,6,100.0
