congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
88,President,99902,99,0,USA,100,0,0,"KENNEDY, John Fitzgerald",K000107,1917,1963.0,-0.472,-0.487,-14.86496,0.919,176,4,,,
88,President,99903,99,0,USA,100,0,0,"JOHNSON, Lyndon Baines",J000160,1908,1973.0,-0.337,-0.035,-25.53074,0.897,236,7,,,
88,House,195,41,98,AL,100,0,1,"ANDREWS, George William",A000206,1906,1971.0,-0.03,1.0,-66.8474,0.695,184,35,,0.044,0.999
88,House,2909,41,98,AL,100,0,1,"ELLIOTT, Carl Atwood",E000120,1913,1999.0,-0.381,0.905,-18.66607,0.891,161,6,,-0.421,0.907
88,House,3754,41,98,AL,100,0,1,"GRANT, George McInvale",G000381,1897,1982.0,-0.117,0.993,-59.18534,0.669,147,34,,0.028,0.947
88,House,4686,41,98,AL,100,0,1,"HUDDLESTON, George Jr.",H000904,1920,1971.0,-0.115,0.833,-90.4187,0.615,186,52,,0.013,0.881
88,House,5058,41,98,AL,100,0,1,"JONES, Robert Emmett, Jr.",J000248,1912,1997.0,-0.358,0.866,-21.82705,0.853,137,9,,-0.348,0.937
88,House,7695,41,98,AL,100,0,1,"RAINS, Albert McKinley",R000018,1902,1991.0,-0.342,0.934,-13.61778,0.888,115,4,,-0.414,0.91
88,House,7954,41,98,AL,100,0,1,"ROBERTS, Kenneth Allison",R000314,1912,1989.0,-0.282,0.895,-56.53875,0.681,147,24,,-0.174,0.985
88,House,8353,41,98,AL,100,0,1,"SELDEN, Armistead Inge, Jr.",S000232,1921,1985.0,-0.073,0.852,-70.37252,0.666,173,37,,-0.04,0.906
88,House,7926,81,1,AK,100,0,1,"RIVERS, Ralph Julian",R000282,1903,1976.0,-0.491,0.414,-30.35368,0.85,187,10,,-0.577,0.642
88,House,7845,61,1,AZ,200,0,1,"RHODES, John Jacob",R000188,1916,2003.0,0.225,-0.033,-64.67553,0.706,186,26,,0.239,0.019
88,House,10566,61,2,AZ,100,0,1,"UDALL, Morris King",U000001,1922,1998.0,-0.387,0.008,-32.3738,0.843,189,13,,-0.459,0.231
88,House,10623,61,3,AZ,100,0,1,"SENNER, George Frederick, Jr.",S000243,1921,2007.0,-0.305,0.228,-51.39138,0.747,176,18,,-0.251,0.259
88,House,3506,42,1,AR,100,0,1,"GATHINGS, Ezekiel Candler",G000098,1903,1979.0,0.012,0.978,-77.14602,0.672,194,36,,0.037,0.999
88,House,4110,42,4,AR,100,0,1,"HARRIS, Oren",H000249,1903,1997.0,-0.179,0.949,-47.39302,0.757,170,17,,-0.196,0.963
