congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
4,President,99869,99,0,USA,1,,,"WASHINGTON, George",,,,,,,,,,,,
4,House,1914,1,98,CT,1,0,1,"COIT, Joshua",C000600,1758.0,1798.0,0.486,0.874,-35.61218,0.648,82,17,,0.546,0.838
4,House,2316,1,98,CT,1,2,2,"DANA, Samuel Whittlesey",D000024,1760.0,1830.0,0.776,-0.182,-13.07004,0.656,31,6,,0.674,0.555
4,House,2355,1,98,CT,1,2,2,"DAVENPORT, James",D000073,1758.0,1797.0,0.833,0.162,-9.43704,0.78,38,6,,0.766,0.268
4,House,3678,1,98,CT,1,0,1,"GOODRICH, Chauncey",G000293,1759.0,1815.0,0.759,-0.04,-14.19761,0.837,80,7,,0.831,0.138
4,House,3846,1,98,CT,1,0,1,"GRISWOLD, Roger",G000488,1762.0,1812.0,0.776,0.631,-19.99783,0.776,79,6,,0.676,0.737
4,House,4433,1,98,CT,1,1,1,"HILLHOUSE, James",H000618,1754.0,1832.0,0.691,-0.249,-6.08985,0.868,43,3,,0.585,-0.672
4,House,8671,1,98,CT,1,0,1,"SMITH, Nathaniel",S000595,1762.0,1822.0,0.666,0.329,-19.75241,0.766,74,7,,0.641,0.767
4,House,9127,1,98,CT,1,0,1,"SWIFT, Zephaniah",S001119,1759.0,1823.0,0.475,0.846,-25.40766,0.719,77,12,,0.476,0.879
4,House,9452,1,98,CT,1,1,1,"TRACY, Uriah",T000348,1755.0,1807.0,0.727,0.328,-7.72747,0.857,50,3,,0.92,0.123
4,House,7235,11,1,DE,13,0,1,"PATTEN, John",P000108,1746.0,1800.0,-0.132,-0.889,-18.3572,0.698,51,10,,-0.142,-0.938
4,House,379,44,98,GA,13,0,1,"BALDWIN, Abraham",B000084,1754.0,1807.0,-0.165,-0.373,-33.02296,0.651,77,17,,0.016,-0.353
4,House,6472,44,98,GA,13,0,1,"MILLEDGE, John",M000712,1757.0,1818.0,-0.015,-0.186,-31.77498,0.651,74,14,,0.015,-0.22
4,House,3798,51,1,KY,13,0,1,"GREENUP, Christopher",G000434,1750.0,1818.0,-0.183,-0.325,-16.73346,0.776,66,6,,-0.309,-0.102
4,House,7084,51,2,KY,13,0,1,"ORR, Alexander Dalrymple",O000101,1761.0,1835.0,-0.022,-0.343,-16.91282,0.727,53,7,,-0.008,-0.447
4,House,1716,52,6,MD,13,0,1,"CHRISTIE, Gabriel",C000382,1755.0,1808.0,-0.035,-0.463,-41.0021,0.552,69,23,,-0.115,-0.993
4,House,2125,52,3,MD,1,1,1,"CRABB, Jeremiah",C000848,1760.0,1800.0,0.166,0.132,-12.54169,0.692,34,5,,0.168,0.162
4,House,2139,52,3,MD,1,2,2,"CRAIK, William",C000863,1761.0,1814.0,0.637,-0.752,-8.58054,0.793,37,2,,0.792,-0.611
4,House,2512,52,1,MD,1,0,1,"DENT, George",D000254,1756.0,1813.0,0.289,-0.915,-29.26627,0.694,80,16,,0.314,-0.776
4,House,2796,52,2,MD,13,1,1,"DUVALL, Gabriel",D000578,1752.0,1844.0,,,,,,,,0.274,-0.962
4,House,4441,52,7,MD,1,0,1,"HINDMAN, William",H000629,1743.0,1822.0,0.798,-0.27,-12.93549,0.849,79,6,,0.761,-0.075
4,House,6830,52,8,MD,1,0,1,"MURRAY, William Vans",M001119,1760.0,1803.0,0.412,0.185,-31.06112,0.638,69,15,,0.87,-0.477
4,House,8678,52,5,MD,13,0,1,"SMITH, Samuel",S000609,1752.0,1839.0,0.032,0.169,-46.52697,0.402,51,21,,0.229,-0.703
4,House,8810,52,2,MD,13,2,2,"SPRIGG, Richard, Jr.",S000752,1769.0,1806.0,-0.016,0.129,-17.42562,0.744,59,4,,-0.077,-0.202
4,House,8811,52,4,MD,13,0,1,"SPRIGG, Thomas",S000753,1747.0,1809.0,0.106,-0.299,-18.71085,0.72,57,10,,0.086,-0.312
4,House,154,3,8,MA,1,0,1,"AMES, Fisher",A000174,1758.0,1808.0,0.857,0.223,-6.02824,0.875,45,3,,0.759,-0.026
4,House,947,3,11,MA,1,0,1,"BRADBURY, Theophilus",B000735,1739.0,1803.0,0.698,-0.202,-12.1236,0.858,79,6,,0.664,-0.113
4,House,2451,3,12,MA,13,0,1,"DEARBORN, Henry",D000178,1751.0,1829.0,0.154,-0.123,-23.21499,0.617,48,13,,0.109,-0.181
4,House,3303,3,4,MA,1,0,1,"FOSTER, Dwight",F000301,1757.0,1823.0,0.692,0.036,-11.31143,0.863,77,3,,0.791,-0.291
4,House,3358,3,5,MA,1,0,1,"FREEMAN, Nathaniel, Jr.",F000365,1766.0,1800.0,0.198,0.877,-15.25605,0.683,40,7,,0.254,0.967
4,House,3674,3,10,MA,1,1,1,"GOODHUE, Benjamin",G000286,1748.0,1814.0,0.779,0.057,-7.2699,0.838,41,4,,0.612,-0.791
4,House,5611,3,7,MA,1,0,1,"LEONARD, George",L000246,1729.0,1819.0,0.842,0.37,,,,,,0.37,0.128
4,House,5850,3,3,MA,1,0,1,"LYMAN, Samuel",L000528,1749.0,1802.0,0.629,0.45,-17.26202,0.806,80,4,,0.688,0.606
4,House,5852,3,2,MA,13,0,1,"LYMAN, William",L000530,1755.0,1811.0,-0.136,-0.881,-27.61262,0.678,71,12,,-0.29,-0.957
4,House,7788,3,6,MA,1,0,1,"REED, John",R000120,1751.0,1831.0,0.511,0.429,-22.65603,0.739,75,9,,0.56,0.803
4,House,8344,3,1,MA,1,1,1,"SEDGWICK, Theodore",S000222,1746.0,1813.0,0.835,0.345,-3.91155,0.909,41,1,,0.886,0.021
4,House,8376,3,10,MA,1,2,2,"SEWALL, Samuel",S000259,1757.0,1814.0,0.689,0.215,-8.47497,0.79,36,4,,0.707,-0.708
4,House,8563,3,1,MA,13,2,2,"SKINNER, Thomson Joseph",S000471,1752.0,1809.0,-0.051,0.917,,,,,,0.042,0.578
