congress,chamber,rollnumber,icpsr,cast_code,prob
54,House,1,4,2,
54,House,1,14,1,
54,House,1,36,1,
54,House,1,58,1,
54,House,1,70,1,
54,House,1,117,2,
54,House,1,187,1,
54,House,1,201,1,
54,House,1,221,1,
54,House,1,250,1,
54,House,1,251,1,
54,House,1,290,1,
54,House,1,300,1,
54,House,1,314,1,
54,House,1,347,2,
54,House,1,363,1,
54,House,1,373,5,
54,House,1,374,1,
54,House,1,403,2,
54,House,1,432,1,
54,House,1,452,1,
54,House,1,466,1,
54,House,1,485,2,
54,House,1,487,2,
54,House,1,537,1,
54,House,1,599,2,
54,House,1,607,9,
54,House,1,634,1,
54,House,1,670,2,
54,House,1,715,1,
54,House,1,734,1,
54,House,1,740,1,
54,House,1,746,2,
54,House,1,809,1,
54,House,1,813,9,
54,House,1,888,1,
54,House,1,906,1,
54,House,1,1020,1,
54,House,1,1056,1,
54,House,1,1065,1,
54,House,1,1089,1,
54,House,1,1108,1,
54,House,1,1162,1,
54,House,1,1193,2,
54,House,1,1227,1,
54,House,1,1304,1,
54,House,1,1315,1,
54,House,1,1322,1,
54,House,1,1400,1,
54,House,1,1483,1,
54,House,1,1595,2,
54,House,1,1689,1,
54,House,1,1747,2,
54,House,1,1755,1,
54,House,1,1783,1,
54,House,1,1799,9,
54,House,1,1869,2,
54,House,1,1870,2,
54,House,1,1893,2,
54,House,1,1896,1,
54,House,1,1903,1,
54,House,1,1955,1,
54,House,1,1999,1,
54,House,1,2024,1,
54,House,1,2029,1,
54,House,1,2041,2,
54,House,1,2047,1,
54,House,1,2055,2,
54,House,1,2070,1,
54,House,1,2094,1,
54,House,1,2104,2,
54,House,1,2117,2,
54,House,1,2141,6,
54,House,1,2211,2,
54,House,1,2216,1,
54,House,1,2224,1,
54,House,1,2230,9,
54,House,1,2248,9,
54,House,1,2269,1,
54,House,1,2271,1,
54,House,1,2273,1,
54,House,1,2310,1,
54,House,1,2320,1,
54,House,1,2328,1,
54,House,1,2438,1,
54,House,1,2453,2,
54,House,1,2509,2,
54,House,1,2547,1,
54,House,1,2606,1,
54,House,1,2608,2,
54,House,1,2631,2,
54,House,1,2648,1,
54,House,1,2669,1,
54,House,1,2696,1,
54,House,1,2705,2,
54,House,1,2719,1,
54,House,1,2839,1,
54,House,1,2906,2,
54,House,1,2918,2,
54,House,1,2927,1,
54,House,1,2978,2,
54,House,1,3022,1,
54,House,1,3047,1,
54,House,1,3057,1,
54,House,1,3106,1,
54,House,1,3159,1,
54,House,1,3182,9,
54,House,1,3218,1,
54,House,1,3261,1,
54,House,1,3297,1,
54,House,1,3322,1,
54,House,1,3447,1,
54,House,1,3468,1,
54,House,1,3561,1,
54,House,1,3597,1,
54,House,1,3599,1,
54,House,1,3730,1,
54,House,1,3823,1,
54,House,1,3845,1,
54,House,1,3855,1,
54,House,1,3858,1,
54,House,1,3863,1,
54,House,1,3899,1,
54,House,1,3903,1,
54,House,1,3912,1,
54,House,1,3957,2,
54,House,1,3975,1,
54,House,1,4035,1,
54,House,1,4061,1,
54,House,1,4080,1,
54,House,1,4114,1,
54,House,1,4130,2,
54,House,1,4146,2,
54,House,1,4157,1,
54,House,1,4187,1,
54,House,1,4272,1,
54,House,1,4284,1,
54,House,1,4295,1,
54,House,1,4306,1,
54,House,1,4317,2,
54,House,1,4329,1,
54,House,1,4331,1,
54,House,1,4348,1,
54,House,1,4355,1,
54,House,1,4386,1,
54,House,1,4402,1,
54,House,1,4409,1,
54,House,1,4458,1,
54,House,1,4555,1,
54,House,1,4564,1,
54,House,1,4630,5,
54,House,1,4638,1,
54,House,1,4643,1,
54,House,1,4668,1,
54,House,1,4691,1,
54,House,1,4714,1,
54,House,1,4715,1,
54,House,1,4719,1,
54,House,1,4760,1,
54,House,1,4774,1,
54,House,1,4777,9,
54,House,1,4787,1,
54,House,1,4913,1,
54,House,1,4956,1,
54,House,1,4960,1,
54,House,1,4981,1,
54,House,1,5067,2,
54,House,1,5079,1,
54,House,1,5159,5,
54,House,1,5169,2,
54,House,1,5214,1,
54,House,1,5231,1,
54,House,1,5295,1,
54,House,1,5350,1,
54,House,1,5374,1,
54,House,1,5387,2,
54,House,1,5391,1,
54,House,1,5493,2,
54,House,1,5523,2,
54,House,1,5528,2,
54,House,1,5576,1,
54,House,1,5598,1,
54,House,1,5600,1,
54,House,1,5610,1,
54,House,1,5620,2,
54,House,1,5644,1,
54,House,1,5690,1,
54,House,1,5692,1,
54,House,1,5702,2,
54,House,1,5717,2,
54,House,1,5736,2,
54,House,1,5754,1,
54,House,1,5781,1,
54,House,1,5784,1,
54,House,1,5786,1,
54,House,1,5806,1,
54,House,1,5901,2,
54,House,1,5918,2,
54,House,1,5921,1,
54,House,1,5925,1,
54,House,1,5992,1,
54,House,1,6129,1,
54,House,1,6130,1,
54,House,1,6145,1,
54,House,1,6150,2,
54,House,1,6161,1,
54,House,1,6183,1,
54,House,1,6194,2,
54,House,1,6202,2,
54,House,1,6211,2,
54,House,1,6237,1,
54,House,1,6245,2,
54,House,1,6296,2,
54,House,1,6320,1,
54,House,1,6331,2,
54,House,1,6359,2,
54,House,1,6379,2,
54,House,1,6409,1,
54,House,1,6416,1,
54,House,1,6420,2,
54,House,1,6448,2,
54,House,1,6467,2,
54,House,1,6503,1,
54,House,1,6515,1,
54,House,1,6523,1,
54,House,1,6536,1,
54,House,1,6545,2,
54,House,1,6547,1,
54,House,1,6590,1,
54,House,1,6592,2,
54,House,1,6617,1,
54,House,1,6732,1,
54,House,1,6749,2,
54,House,1,6775,1,
54,House,1,6807,1,
54,House,1,6858,2,
54,House,1,6897,9,
54,House,1,6953,1,
54,House,1,6964,1,
54,House,1,7024,1,
54,House,1,7032,2,
54,House,1,7107,2,
54,House,1,7113,1,
54,House,1,7124,1,
54,House,1,7139,2,
54,House,1,7203,1,
54,House,1,7249,2,
54,House,1,7273,1,
54,House,1,7289,1,
54,House,1,7318,2,
54,House,1,7346,1,
54,House,1,7418,1,
54,House,1,7431,1,
54,House,1,7471,1,
54,House,1,7523,1,
54,House,1,7580,1,
54,House,1,7609,9,
54,House,1,7624,1,
54,House,1,7647,1,
54,House,1,7672,1,
54,House,1,7728,1,
54,House,1,7748,1,
54,House,1,7795,9,
54,House,1,7805,1,
54,House,1,7827,1,
54,House,1,7877,2,
54,House,1,7942,2,
54,House,1,7964,2,
54,House,1,7981,1,
54,House,1,8099,1,
54,House,1,8119,2,
54,House,1,8123,2,
54,House,1,8124,1,
54,House,1,8221,1,
54,House,1,8244,2,
54,House,1,8317,1,
54,House,1,8371,1,
54,House,1,8401,1,
54,House,1,8420,2,
54,House,1,8453,1,
54,House,1,8494,5,
54,House,1,8526,1,
54,House,1,8560,5,
54,House,1,8624,1,
54,House,1,8698,1,
54,House,1,8727,1,
54,House,1,8742,2,
54,House,1,8750,1,
54,House,1,8754,1,
54,House,1,8759,1,
54,House,1,8765,2,
54,House,1,8786,2,
54,House,1,8793,1,
54,House,1,8825,9,
54,House,1,8828,2,
54,House,1,8867,1,
54,House,1,8895,1,
54,House,1,8926,1,
54,House,1,8937,1,
54,House,1,8970,2,
54,House,1,8975,1,
54,House,1,8987,1,
54,House,1,9010,2,
54,House,1,9026,1,
54,House,1,9033,1,
54,House,1,9046,5,
54,House,1,9078,1,
54,House,1,9080,2,
54,House,1,9106,2,
54,House,1,9150,1,
54,House,1,9158,2,
54,House,1,9181,2,
54,House,1,9184,2,
54,House,1,9194,1,
54,House,1,9195,1,
54,House,1,9265,9,
54,House,1,9294,1,
54,House,1,9429,1,
54,House,1,9444,1,
54,House,1,9446,1,
54,House,1,9464,1,
54,House,1,9498,2,
54,House,1,9516,2,
54,House,1,9521,2,
54,House,1,9540,2,
54,House,1,9560,2,
54,House,1,9564,1,
54,House,1,9638,1,
54,House,1,9704,1,
54,House,1,9744,1,
54,House,1,9750,1,
54,House,1,9783,2,
54,House,1,9803,1,
54,House,1,9836,1,
54,House,1,9857,2,
54,House,1,9872,1,
54,House,1,9875,1,
54,House,1,9939,1,
54,House,1,9992,2,
54,House,1,10024,1,
54,House,1,10098,1,
54,House,1,10165,2,
54,House,1,10204,1,
54,House,1,10213,1,
54,House,1,10219,1,
54,House,1,10223,1,
54,House,1,10251,2,
54,House,1,10321,1,
54,House,1,10337,2,
54,House,1,10345,1,
54,House,1,10368,1,
54,House,1,10382,1,
54,House,1,10425,2,
54,House,1,99890,9,
54,House,2,4,1,100.0
54,House,2,14,6,100.0
54,House,2,36,6,100.0
54,House,2,58,6,100.0
54,House,2,70,6,100.0
54,House,2,117,1,100.0
54,House,2,187,6,100.0
54,House,2,201,6,100.0
54,House,2,221,9,100.0
54,House,2,250,9,100.0
54,House,2,251,6,100.0
54,House,2,290,9,100.0
54,House,2,300,6,100.0
54,House,2,314,9,100.0
54,House,2,347,1,100.0
54,House,2,363,6,100.0
54,House,2,373,1,44.3
54,House,2,374,6,100.0
54,House,2,403,1,100.0
54,House,2,432,6,100.0
54,House,2,452,6,100.0
54,House,2,466,6,100.0
54,House,2,482,6,100.0
54,House,2,485,1,100.0
54,House,2,487,9,88.1
54,House,2,537,6,100.0
54,House,2,599,1,100.0
54,House,2,607,1,67.4
54,House,2,634,6,100.0
54,House,2,670,1,99.2
54,House,2,715,9,100.0
54,House,2,734,6,100.0
54,House,2,740,9,100.0
54,House,2,746,1,100.0
54,House,2,809,6,100.0
54,House,2,813,9,99.7
54,House,2,888,6,100.0
54,House,2,906,9,100.0
54,House,2,1020,6,100.0
54,House,2,1056,6,100.0
54,House,2,1065,6,100.0
54,House,2,1089,6,100.0
54,House,2,1108,9,100.0
54,House,2,1162,6,100.0
54,House,2,1193,1,100.0
54,House,2,1227,6,100.0
54,House,2,1304,6,100.0
54,House,2,1315,6,100.0
54,House,2,1322,9,100.0
54,House,2,1400,6,100.0
54,House,2,1483,6,100.0
54,House,2,1595,1,100.0
54,House,2,1689,9,100.0
54,House,2,1747,1,100.0
54,House,2,1755,6,100.0
54,House,2,1783,6,100.0
54,House,2,1799,9,100.0
54,House,2,1869,1,100.0
54,House,2,1870,1,99.8
54,House,2,1893,1,99.5
54,House,2,1896,6,100.0
54,House,2,1903,6,100.0
54,House,2,1955,9,100.0
54,House,2,1999,6,100.0
54,House,2,2024,6,100.0
54,House,2,2029,6,100.0
54,House,2,2041,1,99.9
54,House,2,2047,6,100.0
54,House,2,2055,1,98.7
54,House,2,2070,6,100.0
54,House,2,2094,9,100.0
54,House,2,2104,9,
54,House,2,2117,1,100.0
54,House,2,2141,1,99.9
54,House,2,2177,1,100.0
54,House,2,2211,1,97.6
54,House,2,2216,6,100.0
54,House,2,2224,9,100.0
54,House,2,2230,9,100.0
54,House,2,2248,1,91.5
54,House,2,2269,6,100.0
54,House,2,2271,6,100.0
54,House,2,2273,6,100.0
54,House,2,2310,9,100.0
54,House,2,2320,6,100.0
54,House,2,2328,6,100.0
54,House,2,2438,6,100.0
54,House,2,2453,1,98.7
54,House,2,2509,1,99.8
54,House,2,2547,6,100.0
54,House,2,2606,6,100.0
54,House,2,2608,1,100.0
54,House,2,2631,1,99.4
54,House,2,2648,6,100.0
54,House,2,2669,9,100.0
54,House,2,2696,6,100.0
54,House,2,2705,1,96.6
54,House,2,2719,9,100.0
54,House,2,2839,9,100.0
54,House,2,2906,1,100.0
54,House,2,2918,1,100.0
54,House,2,2927,6,100.0
54,House,2,2978,1,100.0
54,House,2,3022,6,100.0
54,House,2,3047,6,100.0
54,House,2,3057,6,100.0
54,House,2,3106,6,100.0
54,House,2,3159,6,100.0
54,House,2,3182,9,95.7
54,House,2,3218,6,100.0
54,House,2,3261,6,100.0
54,House,2,3297,6,100.0
54,House,2,3322,6,100.0
54,House,2,3447,6,100.0
54,House,2,3468,9,100.0
54,House,2,3561,6,100.0
54,House,2,3597,6,100.0
54,House,2,3599,6,100.0
54,House,2,3730,6,100.0
54,House,2,3823,6,100.0
54,House,2,3845,6,100.0
54,House,2,3855,9,100.0
54,House,2,3858,6,100.0
54,House,2,3863,6,100.0
54,House,2,3899,6,100.0
54,House,2,3903,6,100.0
54,House,2,3912,6,100.0
54,House,2,3957,1,96.6
54,House,2,3975,6,100.0
54,House,2,4035,6,100.0
54,House,2,4061,6,100.0
54,House,2,4080,6,100.0
54,House,2,4114,6,100.0
54,House,2,4130,9,100.0
54,House,2,4146,1,99.7
54,House,2,4157,6,98.7
54,House,2,4187,6,100.0
54,House,2,4272,6,100.0
54,House,2,4284,6,100.0
54,House,2,4295,6,100.0
54,House,2,4306,6,100.0
54,House,2,4317,1,100.0
54,House,2,4329,6,100.0
54,House,2,4331,6,100.0
54,House,2,4348,9,100.0
54,House,2,4355,6,100.0
54,House,2,4386,9,100.0
54,House,2,4402,6,100.0
54,House,2,4409,9,100.0
54,House,2,4458,6,100.0
54,House,2,4555,6,100.0
54,House,2,4564,6,100.0
54,House,2,4630,9,13.8
54,House,2,4638,6,100.0
54,House,2,4643,6,100.0
54,House,2,4668,6,100.0
54,House,2,4691,6,100.0
54,House,2,4714,6,100.0
54,House,2,4715,6,100.0
54,House,2,4719,6,100.0
54,House,2,4760,9,100.0
54,House,2,4774,6,100.0
54,House,2,4777,9,100.0
54,House,2,4787,6,100.0
54,House,2,4913,6,100.0
54,House,2,4956,6,100.0
54,House,2,4960,6,100.0
54,House,2,4981,6,100.0
54,House,2,5067,9,99.9
54,House,2,5079,6,100.0
54,House,2,5159,1,48.0
54,House,2,5169,1,99.6
54,House,2,5214,6,100.0
54,House,2,5231,6,100.0
54,House,2,5295,6,100.0
54,House,2,5350,6,100.0
54,House,2,5374,6,100.0
54,House,2,5387,1,100.0
54,House,2,5391,6,100.0
54,House,2,5493,1,98.1
54,House,2,5523,1,100.0
54,House,2,5528,1,96.8
54,House,2,5576,6,100.0
54,House,2,5598,6,100.0
54,House,2,5600,6,100.0
54,House,2,5610,6,100.0
54,House,2,5620,1,100.0
54,House,2,5644,9,100.0
54,House,2,5690,6,100.0
54,House,2,5692,6,100.0
54,House,2,5702,1,100.0
54,House,2,5717,1,99.9
54,House,2,5736,1,100.0
54,House,2,5754,6,100.0
54,House,2,5781,9,100.0
54,House,2,5784,6,100.0
54,House,2,5786,6,100.0
54,House,2,5806,6,100.0
54,House,2,5901,1,100.0
54,House,2,5918,1,99.7
54,House,2,5921,6,100.0
54,House,2,5925,6,100.0
54,House,2,5992,6,100.0
54,House,2,6129,6,100.0
54,House,2,6130,6,100.0
54,House,2,6145,6,100.0
54,House,2,6150,1,99.5
54,House,2,6161,6,100.0
54,House,2,6183,9,100.0
54,House,2,6194,1,99.8
54,House,2,6202,1,100.0
54,House,2,6211,1,100.0
54,House,2,6237,9,100.0
54,House,2,6245,9,96.5
54,House,2,6296,1,
54,House,2,6320,6,100.0
54,House,2,6331,1,94.1
54,House,2,6359,1,100.0
54,House,2,6379,1,100.0
54,House,2,6409,6,100.0
54,House,2,6416,6,100.0
54,House,2,6420,1,100.0
54,House,2,6448,1,97.7
54,House,2,6467,1,100.0
54,House,2,6503,6,100.0
54,House,2,6515,6,100.0
54,House,2,6523,6,100.0
54,House,2,6536,6,100.0
54,House,2,6545,1,
54,House,2,6547,6,100.0
54,House,2,6590,6,100.0
54,House,2,6592,1,100.0
54,House,2,6617,6,100.0
54,House,2,6732,6,100.0
54,House,2,6749,9,100.0
54,House,2,6775,6,100.0
54,House,2,6807,6,100.0
54,House,2,6858,1,100.0
54,House,2,6897,9,77.3
54,House,2,6953,6,99.8
54,House,2,6964,6,100.0
54,House,2,7024,6,100.0
54,House,2,7032,1,99.5
54,House,2,7107,1,99.5
54,House,2,7113,6,100.0
54,House,2,7124,6,100.0
54,House,2,7139,1,100.0
54,House,2,7203,6,100.0
54,House,2,7249,1,100.0
54,House,2,7273,6,100.0
54,House,2,7289,6,100.0
54,House,2,7318,9,100.0
54,House,2,7346,6,100.0
54,House,2,7418,6,100.0
54,House,2,7431,6,100.0
54,House,2,7471,6,100.0
54,House,2,7523,6,100.0
54,House,2,7580,6,100.0
54,House,2,7609,1,99.0
54,House,2,7624,6,100.0
54,House,2,7647,6,100.0
54,House,2,7672,6,100.0
54,House,2,7728,6,100.0
54,House,2,7748,9,100.0
54,House,2,7805,6,100.0
54,House,2,7827,9,100.0
54,House,2,7877,1,100.0
54,House,2,7942,1,100.0
54,House,2,7964,1,99.9
54,House,2,7981,6,100.0
54,House,2,8099,6,100.0
54,House,2,8119,9,98.7
54,House,2,8123,1,99.9
54,House,2,8124,6,100.0
54,House,2,8221,6,100.0
54,House,2,8244,1,100.0
54,House,2,8317,6,100.0
54,House,2,8371,6,100.0
54,House,2,8394,6,20.0
54,House,2,8401,6,100.0
54,House,2,8420,9,
54,House,2,8453,6,100.0
54,House,2,8494,6,12.0
54,House,2,8526,6,100.0
54,House,2,8560,9,22.8
54,House,2,8624,9,100.0
54,House,2,8698,6,100.0
54,House,2,8727,6,100.0
