congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
15,President,99873,99,0,USA,13,,,"MONROE, James",M000858,1758.0,1831.0,0.13,0.548,,,,,,,
15,House,3578,1,98,CT,13,2,2,"GILBERT, Sylvester",G000178,1755.0,1846.0,0.696,0.316,-13.92696,0.693,38,9,,0.664,0.356
15,House,4540,1,98,CT,1,1,1,"HOLMES, Uriel",H000743,1764.0,1827.0,0.59,-0.807,-21.76064,0.704,62,10,,0.575,-0.717
15,House,4767,1,98,CT,1,0,1,"HUNTINGTON, Ebenezer",H000996,1754.0,1834.0,0.447,-0.895,-40.06813,0.678,103,18,,0.573,-0.819
15,House,6746,1,98,CT,1,0,1,"MOSELEY, Jonathan Ogden",M001023,1762.0,1838.0,0.63,-0.429,-29.87067,0.707,86,12,,0.653,-0.54
15,House,7469,1,98,CT,1,0,1,"PITKIN, Timothy",P000368,1766.0,1847.0,0.637,-0.415,-31.0956,0.713,92,9,,0.585,-0.811
15,House,8465,1,98,CT,1,0,1,"SHERWOOD, Samuel Burr",S000357,1767.0,1833.0,0.588,-0.809,-36.81348,0.689,99,16,,0.628,-0.779
15,House,9263,1,98,CT,1,0,1,"TERRY, Nathaniel",T000135,1768.0,1844.0,0.839,-0.544,-33.01722,0.701,93,15,,0.852,-0.524
15,House,10183,1,98,CT,1,0,1,"WILLIAMS, Thomas Scott",W000541,1777.0,1861.0,0.472,-0.882,-35.61719,0.708,103,15,,0.553,-0.833
15,House,3958,11,98,DE,13,0,1,"HALL, Willard",H000076,1780.0,1875.0,0.482,-0.109,-40.91641,0.641,92,21,,0.524,-0.032
15,House,6323,11,98,DE,1,0,1,"McLANE, Louis",M000535,1786.0,1857.0,0.007,0.334,-36.20035,0.601,71,16,,-0.019,0.284
15,House,5,44,98,GA,13,0,1,"ABBOT, Joel",A000003,1776.0,1826.0,-0.262,0.102,-50.4928,0.571,90,26,,-0.15,-0.087
15,House,1873,44,98,GA,13,0,1,"COBB, Thomas Willis",C000553,1784.0,1830.0,-0.228,-0.974,-44.06809,0.641,99,24,,-0.228,-0.731
15,House,2026,44,98,GA,13,0,1,"COOK, Zadock",C000728,1769.0,1863.0,-0.361,-0.414,-33.84719,0.668,84,17,,-0.359,-0.318
15,House,2161,44,98,GA,13,0,1,"CRAWFORD, Joel",C000891,1783.0,1858.0,-0.196,0.197,-45.97287,0.586,86,21,,-0.167,0.158
15,House,3287,44,98,GA,13,1,2,"FORSYTH, John",F000284,1780.0,1841.0,-0.313,-0.116,-51.65842,0.537,83,30,,0.044,0.314
15,House,7813,44,98,GA,13,2,2,"REID, Robert Raymond",R000151,1789.0,1841.0,-0.487,0.269,,,,,,-0.21,0.052
15,House,9261,44,98,GA,13,0,1,"TERRELL, William",T000132,1778.0,1855.0,-0.246,-0.177,-51.23231,0.559,88,31,,-0.157,0.068
15,House,6338,21,1,IL,13,0,1,"McLEAN, John",M000550,1791.0,1830.0,-0.034,0.146,-17.93217,0.616,37,6,,-0.486,0.874
15,House,4320,22,1,IN,13,0,1,"HENDRICKS, William",H000494,1782.0,1850.0,0.001,1.0,-53.7311,0.547,89,33,,0.216,0.858
15,House,179,51,8,KY,13,0,1,"ANDERSON, Richard Clough, Jr.",A000230,1788.0,1826.0,-0.209,0.538,-33.50598,0.697,93,14,,-0.278,0.886
15,House,1810,51,2,KY,13,0,1,"CLAY, Henry",C000482,1777.0,1852.0,0.262,0.547,,,,,,-0.601,-0.015
15,House,2527,51,4,KY,13,0,1,"DESHA, Joseph",D000271,1768.0,1842.0,-0.276,-0.102,-53.81906,0.587,101,32,,-0.217,-0.259
15,House,4988,51,3,KY,13,0,1,"JOHNSON, Richard Mentor",J000170,1780.0,1850.0,-0.18,0.02,-45.98806,0.571,82,26,,-0.3,0.954
15,House,6886,51,5,KY,13,0,1,"NEW, Anthony",N000058,1747.0,1833.0,-0.231,0.057,-27.46364,0.66,66,11,,-0.236,0.237
15,House,7667,51,9,KY,13,0,1,"QUARLES, Tunstall",Q000005,1770.0,1855.0,-0.418,0.836,-23.73676,0.712,70,8,,-0.348,0.861
15,House,7962,51,7,KY,13,0,1,"ROBERTSON, George",R000322,1790.0,1874.0,-0.182,0.356,-45.03288,0.613,92,22,,-0.263,0.425
15,House,8772,51,10,KY,13,0,1,"SPEED, Thomas",S000710,1768.0,1842.0,-0.447,-0.25,-49.72252,0.602,98,33,,-0.439,-0.124
15,House,9472,51,1,KY,13,0,1,"TRIMBLE, David",T000372,1782.0,1842.0,0.044,0.548,-47.84036,0.573,86,23,,-0.334,0.848
15,House,9737,51,6,KY,13,0,1,"WALKER, David",W000048,,1820.0,-0.395,0.472,-35.24724,0.664,86,12,,-0.406,0.524
15,House,1350,45,1,LA,13,2,2,"BUTLER, Thomas",B001190,1785.0,1847.0,-0.479,0.878,-11.32094,0.748,39,3,,-0.318,0.948
15,House,7966,45,1,LA,13,1,1,"ROBERTSON, Thomas Bolling",R000326,1779.0,1828.0,0.08,0.327,-40.01324,0.496,57,21,,-0.479,0.87
15,House,533,52,8,MD,1,0,1,"BAYLY, Thomas",B000258,1775.0,1829.0,-0.146,0.23,-55.06096,0.546,91,28,,0.012,0.056
15,House,2233,52,7,MD,13,0,1,"CULBRETH, Thomas",C000967,1786.0,1843.0,-0.091,0.403,-46.74808,0.522,72,27,,-0.216,0.231
15,House,4350,52,2,MD,1,0,1,"HERBERT, John Carlyle",H000525,1775.0,1846.0,0.197,-0.194,-49.47713,0.462,64,32,,-0.054,0.456
15,House,5704,52,5,MD,13,0,1,"LITTLE, Peter",L000354,1775.0,1830.0,0.103,0.444,-44.95478,0.61,91,26,,-0.115,0.53
15,House,7363,52,3,MD,1,0,1,"PETER, George",P000250,1779.0,1861.0,-0.079,0.431,-49.30572,0.571,88,24,,-0.275,0.63
15,House,7792,52,6,MD,13,0,1,"REED, Philip",R000125,1760.0,1829.0,0.309,-0.339,-65.44263,0.463,85,38,,-0.045,-0.5
15,House,7910,52,4,MD,13,0,1,"RINGGOLD, Samuel",R000263,1770.0,1829.0,-0.152,0.262,-42.86008,0.624,91,19,,-0.224,0.298
15,House,8678,52,5,MD,13,0,1,"SMITH, Samuel",S000609,1752.0,1839.0,0.032,0.169,-49.4042,0.547,82,28,,-0.004,-0.004
15,House,9055,52,1,MD,1,0,1,"STUART, Philip",S001036,1760.0,1830.0,0.173,-0.71,-60.10338,0.424,70,24,,-0.056,0.206
15,House,24,3,11,MA,1,0,1,"ADAMS, Benjamin",A000030,1764.0,1837.0,0.776,-0.631,-35.99058,0.707,104,14,,0.751,-0.66
15,House,128,3,6,MA,1,0,1,"ALLEN, Samuel Clesson",A000146,1772.0,1842.0,0.439,-0.899,-30.94506,0.654,73,10,,0.745,-0.667
15,House,3252,3,9,MA,13,0,1,"FOLGER, Walter, Jr.",F000242,1765.0,1849.0,0.663,-0.283,-46.61342,0.609,94,20,,0.561,-0.434
15,House,3400,3,4,MA,13,0,1,"FULLER, Timothy",F000413,1778.0,1835.0,0.238,0.111,-34.00049,0.545,56,20,,0.6,0.777
15,House,3421,3,19,MA,13,0,1,"GAGE, Joshua",G000003,1763.0,1831.0,0.327,0.25,-41.90141,0.621,88,21,,0.321,0.337
15,House,4536,3,14,MA,13,0,1,"HOLMES, John",H000739,1773.0,1843.0,0.342,0.059,-83.58565,0.403,92,39,,-0.172,0.687
15,House,5667,3,20,MA,13,2,2,"LINCOLN, Enoch",L000314,1788.0,1829.0,0.22,-0.268,-23.00349,0.508,34,13,,0.346,0.463
15,House,6058,3,1,MA,1,0,1,"MASON, Jonathan",M000221,1756.0,1831.0,0.356,-0.139,-69.42074,0.482,95,31,,0.013,0.007
15,House,6528,3,5,MA,1,0,1,"MILLS, Elijah Hunt",M000774,1776.0,1829.0,0.624,-0.253,-21.04158,0.662,51,8,,0.585,-0.811
15,House,6743,3,10,MA,13,0,1,"MORTON, Marcus",M001019,1784.0,1864.0,0.422,-0.108,-45.83193,0.598,89,27,,0.533,-0.034
15,House,6866,3,3,MA,1,0,1,"NELSON, Jeremiah",N000036,1769.0,1838.0,0.413,-0.452,-48.28407,0.611,98,20,,0.732,-0.552
15,House,7085,3,16,MA,1,0,1,"ORR, Benjamin",O000102,1772.0,1828.0,0.62,-0.575,-31.02916,0.65,72,15,,0.589,-0.536
15,House,7212,3,20,MA,13,1,2,"PARRIS, Albion Keith",P000079,1788.0,1857.0,0.28,-0.244,,,,,,-0.271,-0.963
15,House,7860,3,18,MA,1,0,1,"RICE, Thomas",R000204,1768.0,1854.0,0.472,-0.881,-25.07009,0.728,79,7,,0.585,-0.811
15,House,8110,3,13,MA,1,0,1,"RUGGLES, Nathaniel",R000503,1761.0,1819.0,0.606,-0.298,-48.73492,0.626,104,21,,0.469,-0.361
15,House,8190,3,8,MA,13,0,1,"SAMPSON, Zabdiel",S000026,1781.0,1828.0,0.273,0.102,-62.11005,0.547,103,42,,0.17,-0.096
15,House,8418,3,7,MA,13,0,1,"SHAW, Henry",S000307,1788.0,1857.0,-0.068,0.462,-51.2192,0.523,79,31,,-0.158,0.018
15,House,8510,3,2,MA,13,0,1,"SILSBEE, Nathaniel",S000411,1773.0,1850.0,0.405,0.311,-64.16605,0.49,90,33,,0.325,0.06
15,House,9036,3,12,MA,1,0,1,"STRONG, Solomon",S001017,1780.0,1850.0,0.739,-0.674,-27.03046,0.651,63,9,,0.603,-0.798
15,House,10069,3,15,MA,1,0,1,"WHITMAN, Ezekiel",W000421,1776.0,1866.0,0.431,-0.271,-58.87212,0.524,91,26,,0.314,-0.216
15,House,10238,3,17,MA,1,0,1,"WILSON, John",W000598,1777.0,1848.0,0.859,-0.511,-48.08074,0.518,73,25,,1.0,-0.03
15,House,7501,46,1,MS,13,0,1,"POINDEXTER, George",P000402,1779.0,1853.0,0.203,-0.399,-79.1787,0.394,85,44,,-0.615,0.788
15,House,1342,4,98,NH,13,0,1,"BUTLER, Josiah",B001181,1779.0,1854.0,0.424,-0.905,-28.67904,0.66,69,14,,0.368,-0.755
15,House,1732,4,98,NH,13,0,1,"CLAGETT, Clifton",C000399,1762.0,1829.0,0.466,-0.676,-39.58864,0.65,92,21,,0.561,-0.788
15,House,3926,4,98,NH,13,0,1,"HALE, Salma",H000038,1787.0,1866.0,0.448,-0.414,-51.28308,0.558,88,27,,0.43,-0.357
15,House,5711,4,98,NH,13,0,1,"LIVERMORE, Arthur",L000362,1766.0,1853.0,0.278,-0.338,-64.28983,0.501,93,31,,0.469,0.195
15,House,7216,4,98,NH,13,0,1,"PARROTT, John Fabyan",P000084,1767.0,1836.0,0.216,0.009,-67.58759,0.495,96,39,,-0.087,0.857
15,House,9569,4,98,NH,13,0,1,"UPHAM, Nathaniel",U000024,1774.0,1829.0,0.39,-0.221,-42.00818,0.62,88,21,,0.437,0.04
15,House,509,12,98,NJ,13,0,1,"BATEMAN, Ephraim",B000228,1780.0,1829.0,0.34,0.374,-45.6852,0.612,93,25,,0.37,0.226
15,House,630,12,98,NJ,13,0,1,"BENNET, Benjamin",B000368,1764.0,1840.0,0.191,0.002,-59.4639,0.568,105,36,,0.375,-0.498
15,House,803,12,98,NJ,13,0,1,"BLOOMFIELD, Joseph",B000566,1753.0,1823.0,-0.165,0.986,-41.23236,0.642,93,20,,-0.165,0.674
15,House,5284,12,98,NJ,13,0,1,"KINSEY, Charles",K000227,1773.0,1849.0,0.096,0.863,-46.67914,0.624,99,27,,0.05,0.999
15,House,5688,12,98,NJ,13,0,1,"LINN, John",L000337,1763.0,1821.0,0.288,0.141,-50.33685,0.601,99,22,,0.281,0.155
15,House,8748,12,98,NJ,13,0,1,"SOUTHARD, Henry",S000685,1747.0,1842.0,0.027,0.474,-63.62636,0.46,82,40,,0.285,0.414
15,House,1969,13,20,NY,13,0,1,"COMSTOCK, Oliver Cromwell",C000664,1780.0,1860.0,0.175,0.629,-33.30316,0.682,87,13,,0.319,0.893
15,House,2221,13,20,NY,13,0,1,"CRUGER, Daniel",C000954,1780.0,1843.0,-0.134,0.939,-43.42834,0.63,94,23,,-0.137,0.991
15,House,2280,13,10,NY,1,0,1,"CUSHMAN, John Paine",C001019,1784.0,1848.0,0.762,-0.107,-27.45546,0.729,87,7,,0.783,-0.101
15,House,2716,13,15,NY,13,0,1,"DRAKE, John Reuben",D000485,1782.0,1857.0,0.35,-0.278,-37.26966,0.635,82,19,,0.338,-0.23
15,House,2907,13,21,NY,13,0,1,"ELLICOTT, Benjamin",E000118,1765.0,1827.0,0.491,0.15,-43.60022,0.638,97,21,,0.487,0.204
15,House,4169,13,7,NY,13,0,1,"HASBROUCK, Josiah",H000314,1755.0,1821.0,-0.02,0.037,-76.24876,0.425,89,51,,0.542,0.208
15,House,4353,13,14,NY,13,0,1,"HERKIMER, John",H000529,1773.0,1848.0,0.506,0.487,-41.94603,0.614,86,25,,0.471,0.882
15,House,4674,13,17,NY,13,0,1,"HUBBARD, Thomas Hill",H000890,1781.0,1857.0,0.382,0.383,-36.77994,0.684,97,13,,0.37,0.485
15,House,4823,13,2,NY,13,0,1,"IRVING, William",I000038,1766.0,1821.0,0.279,0.731,-48.03012,0.613,98,25,,0.352,0.5
