congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
10,President,99871,99,0,USA,13,,,"JEFFERSON, Thomas",,1743.0,1826.0,0.018,0.516,,,,,,,
10,House,1632,1,98,CT,1,0,1,"CHAMPION, Epaphroditus",C000288,1756.0,1834.0,0.548,-0.675,-40.31046,0.811,192,19,,0.58,-0.628
10,House,2316,1,98,CT,1,0,1,"DANA, Samuel Whittlesey",D000024,1760.0,1830.0,0.776,-0.182,-38.37456,0.795,167,20,,0.618,-0.15
10,House,2357,1,98,CT,1,0,1,"DAVENPORT, John",D000075,1752.0,1830.0,0.728,-0.304,-42.0334,0.815,206,21,,0.688,-0.305
10,House,6746,1,98,CT,1,0,1,"MOSELEY, Jonathan Ogden",M001023,1762.0,1838.0,0.63,-0.429,-22.01739,0.885,180,7,,0.648,-0.452
10,House,7469,1,98,CT,1,0,1,"PITKIN, Timothy",P000368,1766.0,1847.0,0.637,-0.415,-37.17567,0.812,179,16,,0.647,-0.341
10,House,9063,1,98,CT,1,0,1,"STURGES, Lewis Burr",S001048,1763.0,1844.0,0.599,-0.446,-30.4985,0.847,184,15,,0.663,-0.293
10,House,9169,1,98,CT,1,0,1,"TALLMADGE, Benjamin",T000029,1754.0,1835.0,0.647,-0.338,-33.01865,0.843,193,15,,0.67,-0.231
10,House,9613,11,1,DE,1,0,2,"VAN DYKE, Nicholas",V000037,1770.0,1826.0,0.401,-0.237,-24.7706,0.792,106,9,,0.423,-0.456
10,House,686,44,98,GA,13,0,1,"BIBB, William Wyatt",B000434,1781.0,1820.0,-0.373,-0.565,-96.73416,0.617,200,55,,-0.253,-0.591
10,House,1868,44,98,GA,13,0,1,"COBB, Howell",C000547,1772.0,1818.0,-0.253,-0.518,-44.89848,0.626,96,24,,-0.203,-0.561
10,House,8595,44,98,GA,13,0,1,"SMELT, Dennis",S000507,1750.0,,-0.034,-0.107,-81.66318,0.62,171,39,,-0.108,-0.079
