congress,chamber,rollnumber,icpsr,cast_code,prob
65,House,1,44,1,
65,House,1,86,1,
65,House,1,143,1,
65,House,1,182,2,
65,House,1,211,2,
65,House,1,258,1,
65,House,1,276,1,
65,House,1,295,2,
65,House,1,309,1,
65,House,1,318,2,
65,House,1,326,2,
65,House,1,406,1,
65,House,1,437,1,
65,House,1,453,1,
65,House,1,519,1,
65,House,1,614,1,
65,House,1,739,1,
65,House,1,757,1,
65,House,1,782,2,
65,House,1,788,1,
65,House,1,850,1,
65,House,1,866,1,
65,House,1,904,2,
65,House,1,976,1,
65,House,1,1048,2,
65,House,1,1055,1,
65,House,1,1143,2,
65,House,1,1149,2,
65,House,1,1159,1,
65,House,1,1160,1,
65,House,1,1188,1,
65,House,1,1291,1,
65,House,1,1352,2,
65,House,1,1370,1,
65,House,1,1372,1,
65,House,1,1404,1,
65,House,1,1462,2,
65,House,1,1473,1,
65,House,1,1483,2,
65,House,1,1488,1,
65,House,1,1498,1,
65,House,1,1500,1,
65,House,1,1508,1,
65,House,1,1546,1,
65,House,1,1554,2,
65,House,1,1567,2,
65,House,1,1638,2,
65,House,1,1640,2,
65,House,1,1720,1,
65,House,1,1762,1,
65,House,1,1765,2,
65,House,1,1804,2,
65,House,1,1817,1,
65,House,1,1862,1,
65,House,1,1942,1,
65,House,1,1968,2,
65,House,1,1986,1,
65,House,1,1991,1,
65,House,1,2043,2,
65,House,1,2047,2,
65,House,1,2051,2,
65,House,1,2063,2,
65,House,1,2082,2,
65,House,1,2119,1,
65,House,1,2130,2,
65,House,1,2144,2,
65,House,1,2178,1,
65,House,1,2199,1,
65,House,1,2259,2,
65,House,1,2261,2,
65,House,1,2301,1,
65,House,1,2302,2,
65,House,1,2306,8,
65,House,1,2347,2,
65,House,1,2366,2,
65,House,1,2375,2,
65,House,1,2457,1,
65,House,1,2491,2,
65,House,1,2497,2,
65,House,1,2514,1,
65,House,1,2516,1,
65,House,1,2536,1,
65,House,1,2568,1,
65,House,1,2587,1,
65,House,1,2595,1,
65,House,1,2598,2,
65,House,1,2621,1,
65,House,1,2651,1,
65,House,1,2666,1,
65,House,1,2667,1,
65,House,1,2670,1,
65,House,1,2684,1,
65,House,1,2701,2,
65,House,1,2717,1,
65,House,1,2734,2,
65,House,1,2776,2,
65,House,1,2783,1,
65,House,1,2807,2,
65,House,1,2808,1,
65,House,1,2810,1,
65,House,1,2853,2,
65,House,1,2934,2,
65,House,1,2949,2,
65,House,1,2959,2,
65,House,1,2988,2,
65,House,1,2996,1,
65,House,1,3013,1,
65,House,1,3047,2,
65,House,1,3048,2,
65,House,1,3050,2,
65,House,1,3068,2,
65,House,1,3119,1,
65,House,1,3124,2,
65,House,1,3138,1,
65,House,1,3169,1,
65,House,1,3183,1,
65,House,1,3225,1,
65,House,1,3241,1,
65,House,1,3243,2,
65,House,1,3275,2,
65,House,1,3297,2,
65,House,1,3311,1,
65,House,1,3334,2,
65,House,1,3348,2,
65,House,1,3359,2,
65,House,1,3367,2,
65,House,1,3391,8,
65,House,1,3393,2,
65,House,1,3435,1,
65,House,1,3440,1,
65,House,1,3450,1,
65,House,1,3459,1,
65,House,1,3463,8,
65,House,1,3478,2,
65,House,1,3482,1,
65,House,1,3489,1,
65,House,1,3490,1,
65,House,1,3599,2,
65,House,1,3625,1,
65,House,1,3637,2,
65,House,1,3641,1,
65,House,1,3664,2,
65,House,1,3665,2,
65,House,1,3689,1,
65,House,1,3702,1,
65,House,1,3723,2,
65,House,1,3732,2,
65,House,1,3741,2,
65,House,1,3762,8,
65,House,1,3770,1,
65,House,1,3786,2,
65,House,1,3789,2,
65,House,1,3794,2,
65,House,1,3804,1,
65,House,1,3816,2,
65,House,1,3819,1,
65,House,1,3898,2,
65,House,1,3980,1,
65,House,1,3985,2,
65,House,1,3989,2,
65,House,1,3999,1,
65,House,1,4065,1,
65,House,1,4126,1,
65,House,1,4136,1,
65,House,1,4173,8,
65,House,1,4183,1,
65,House,1,4195,2,
65,House,1,4222,2,
65,House,1,4227,1,
65,House,1,4230,2,
65,House,1,4271,2,
65,House,1,4280,1,
65,House,1,4286,2,
65,House,1,4291,1,
65,House,1,4294,1,
65,House,1,4347,1,
65,House,1,4368,2,
65,House,1,4385,2,
65,House,1,4409,2,
65,House,1,4435,1,
65,House,1,4517,1,
65,House,1,4524,2,
65,House,1,4550,1,
65,House,1,4617,1,
65,House,1,4636,1,
65,House,1,4685,1,
65,House,1,4711,1,
65,House,1,4717,1,
65,House,1,4718,2,
65,House,1,4734,1,
65,House,1,4775,2,
65,House,1,4781,2,
65,House,1,4794,1,
65,House,1,4815,2,
65,House,1,4876,1,
65,House,1,4887,8,
65,House,1,4939,2,
65,House,1,4942,1,
65,House,1,4991,2,
65,House,1,5051,1,
65,House,1,5067,1,
65,House,1,5087,2,
65,House,1,5090,2,
65,House,1,5113,2,
65,House,1,5115,1,
65,House,1,5124,1,
65,House,1,5139,2,
65,House,1,5154,1,
65,House,1,5174,2,
65,House,1,5178,2,
65,House,1,5221,1,
65,House,1,5223,1,
65,House,1,5233,2,
65,House,1,5249,1,
65,House,1,5259,2,
65,House,1,5278,2,
65,House,1,5307,1,
65,House,1,5352,2,
65,House,1,5364,2,
65,House,1,5366,2,
65,House,1,5403,2,
65,House,1,5406,2,
65,House,1,5454,2,
65,House,1,5482,1,
65,House,1,5529,1,
65,House,1,5531,1,
65,House,1,5558,1,
65,House,1,5589,2,
65,House,1,5607,2,
65,House,1,5615,1,
65,House,1,5624,1,
65,House,1,5691,1,
65,House,1,5699,2,
65,House,1,5708,1,
65,House,1,5730,1,
65,House,1,5751,1,
65,House,1,5752,1,
65,House,1,5770,2,
65,House,1,5839,2,
65,House,1,5841,1,
65,House,1,5899,2,
65,House,1,5909,2,
65,House,1,5922,1,
65,House,1,5966,1,
65,House,1,5972,2,
65,House,1,6016,1,
65,House,1,6041,1,
65,House,1,6065,2,
65,House,1,6117,1,
65,House,1,6122,1,
65,House,1,6124,2,
65,House,1,6158,1,
65,House,1,6181,2,
65,House,1,6203,2,
65,House,1,6238,2,
65,House,1,6300,2,
65,House,1,6304,1,
65,House,1,6313,2,
65,House,1,6327,2,
65,House,1,6328,2,
65,House,1,6342,1,
65,House,1,6404,2,
65,House,1,6476,2,
65,House,1,6494,2,
65,House,1,6590,2,
65,House,1,6598,1,
65,House,1,6618,1,
65,House,1,6640,2,
65,House,1,6659,2,
65,House,1,6675,2,
65,House,1,6688,2,
65,House,1,6762,2,
65,House,1,6778,2,
65,House,1,6856,1,
65,House,1,6869,2,
65,House,1,6915,1,
65,House,1,6917,2,
65,House,1,6947,2,
65,House,1,6975,2,
65,House,1,7050,1,
65,House,1,7058,1,
65,House,1,7064,1,
65,House,1,7067,1,
65,House,1,7093,2,
65,House,1,7098,1,
65,House,1,7121,1,
65,House,1,7123,1,
65,House,1,7150,1,
65,House,1,7162,2,
