congress,chamber,rollnumber,icpsr,cast_code,prob
12,House,1,148,6,100.0
12,House,1,184,6,100.0
12,House,1,223,6,99.3
12,House,1,299,6,99.8
12,House,1,323,6,99.1
12,House,1,367,1,89.6
12,House,1,429,6,99.8
12,House,1,491,6,99.5
12,House,1,505,6,97.2
12,House,1,686,6,92.5
12,House,1,703,1,99.8
12,House,1,754,6,99.2
12,House,1,793,9,76.3
12,House,1,805,6,99.3
12,House,1,927,6,97.6
12,House,1,992,1,83.1
12,House,1,1036,1,99.8
12,House,1,1132,6,99.9
12,House,1,1323,6,94.7
12,House,1,1354,6,97.9
12,House,1,1418,6,95.6
12,House,1,1632,1,99.0
12,House,1,1688,6,96.7
12,House,1,1708,1,97.5
12,House,1,1810,6,98.9
12,House,1,1815,9,95.4
12,House,1,1853,9,98.6
12,House,1,1868,9,91.2
12,House,1,1880,9,93.6
12,House,1,1972,6,99.5
12,House,1,2031,6,49.7
12,House,1,2164,6,99.3
12,House,1,2294,9,100.0
12,House,1,2357,6,2.3
12,House,1,2409,6,99.8
12,House,1,2426,6,99.3
12,House,1,2527,6,98.9
12,House,1,2607,6,99.9
12,House,1,2813,6,99.5
12,House,1,2956,1,99.4
12,House,1,2961,1,86.5
12,House,1,3147,6,99.9
12,House,1,3173,6,99.8
12,House,1,3175,1,96.3
12,House,1,3344,6,98.4
12,House,1,3552,9,99.4
12,House,1,3648,1,76.3
12,House,1,3652,9,86.4
12,House,1,3691,6,99.0
12,House,1,3763,9,53.0
12,House,1,3779,6,99.9
12,House,1,3865,6,99.4
12,House,1,3933,6,95.4
12,House,1,3950,6,99.7
12,House,1,4088,6,100.0
12,House,1,4206,6,98.1
12,House,1,4693,6,87.1
12,House,1,4740,1,25.4
12,House,1,4789,6,99.9
12,House,1,4862,1,98.4
12,House,1,4988,6,99.3
12,House,1,5194,6,98.5
12,House,1,5225,1,77.0
12,House,1,5275,1,0.9
12,House,1,5392,6,98.2
12,House,1,5503,1,99.7
12,House,1,5577,6,97.5
12,House,1,5645,1,94.2
12,House,1,5704,6,99.6
12,House,1,5719,1,83.2
12,House,1,5815,6,98.2
12,House,1,5846,6,99.9
12,House,1,5895,6,72.9
12,House,1,6095,6,94.9
12,House,1,6128,9,88.3
12,House,1,6189,6,97.8
12,House,1,6290,6,94.7
12,House,1,6306,6,100.0
12,House,1,6440,6,98.3
12,House,1,6538,1,81.1
12,House,1,6577,6,99.5
12,House,1,6653,6,95.7
12,House,1,6679,6,97.1
12,House,1,6728,6,99.6
12,House,1,6746,1,97.8
12,House,1,6865,6,98.5
12,House,1,6886,6,99.5
12,House,1,6892,6,97.3
12,House,1,6905,6,99.5
12,House,1,7083,6,99.8
12,House,1,7269,9,99.9
12,House,1,7288,1,90.2
12,House,1,7427,6,99.1
12,House,1,7464,6,99.8
12,House,1,7469,1,97.7
