congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
2,President,99869,99,0,USA,5000,,,"WASHINGTON, George",,,,,,,,,,,,
2,House,4433,1,98,CT,5000,0,1,"HILLHOUSE, James",H000618,1754.0,1832.0,0.691,-0.249,-36.8834,0.661,89,16,,0.635,-0.088
2,House,5543,1,98,CT,5000,0,1,"LEARNED, Amasa",L000178,1750.0,1825.0,0.815,0.306,-15.39687,0.843,90,3,,0.999,-0.032
2,House,9062,1,98,CT,5000,0,1,"STURGES, Jonathan",S001047,1740.0,1819.0,0.531,0.448,-66.62643,0.507,98,32,,0.468,0.214
2,House,9489,1,98,CT,5000,0,1,"TRUMBULL, Jonathan, Jr.",T000389,1740.0,1809.0,0.692,0.246,,,,,,0.975,0.223
2,House,9706,1,98,CT,5000,0,1,"WADSWORTH, Jeremiah",W000013,1743.0,1804.0,0.738,0.206,-15.84448,0.814,77,5,,0.732,0.338
2,House,9676,11,1,DE,5000,0,1,"VINING, John",V000104,1758.0,1802.0,0.433,-0.264,-22.12876,0.567,39,12,,0.467,0.202
2,House,379,44,2,GA,4000,0,1,"BALDWIN, Abraham",B000084,1754.0,1807.0,-0.165,-0.373,-32.50365,0.723,100,15,,-0.152,0.124
2,House,6472,44,1,GA,4000,2,2,"MILLEDGE, John",M000712,1757.0,1818.0,-0.015,-0.186,,,,,,0.049,0.217
2,House,9885,44,1,GA,4000,1,1,"WAYNE, Anthony",W000216,1745.0,1796.0,0.115,0.993,-8.38415,0.749,29,3,,0.102,0.995
2,House,10202,44,3,GA,4000,0,1,"WILLIS, Francis",W000560,1745.0,1829.0,-0.135,0.762,-25.52205,0.746,87,11,,-0.14,0.84
2,House,3798,51,1,KY,4000,0,1,"GREENUP, Christopher",G000434,1750.0,1818.0,-0.183,-0.325,-18.27729,0.593,35,8,,0.097,-0.673
2,House,7084,51,2,KY,4000,0,1,"ORR, Alexander Dalrymple",O000101,1761.0,1835.0,-0.022,-0.343,-6.59751,0.814,32,1,,-0.21,-0.268
2,House,4441,52,2,MD,5000,2,2,"HINDMAN, William",H000629,1743.0,1822.0,0.798,-0.27,,,,,,0.313,0.446
2,House,5224,52,1,MD,5000,0,1,"KEY, Philip",K000158,1750.0,1820.0,0.227,0.307,-37.66719,0.628,81,22,,0.228,0.323
2,House,6418,52,3,MD,4000,2,2,"MERCER, John Francis",M000645,1759.0,1821.0,-0.47,-0.021,-10.65095,0.835,59,5,,-0.471,-0.005
2,House,6830,52,5,MD,5000,0,1,"MURRAY, William Vans",M001119,1760.0,1803.0,0.412,0.185,-56.63845,0.529,89,36,,0.264,0.489
2,House,7463,52,3,MD,5000,1,1,"PINKNEY, William",P000362,1764.0,1822.0,-0.107,0.026,,,,,,,
2,House,8363,52,2,MD,4000,1,1,"SENEY, Joshua",S000242,1756.0,1798.0,0.221,0.27,-31.18651,0.584,58,15,,-0.079,-0.398
2,House,8449,52,6,MD,4000,0,1,"SHEREDINE, Upton",S000340,1740.0,1800.0,,,,,,,,0.002,0.27
2,House,8896,52,4,MD,4000,0,1,"STERETT, Samuel",S000866,1758.0,1833.0,0.363,0.932,-24.76386,0.731,79,7,,0.379,0.867
2,House,154,3,1,MA,5000,0,1,"AMES, Fisher",A000174,1758.0,1808.0,0.857,0.223,-16.47037,0.836,92,5,,0.999,-0.032
2,House,886,3,5,MA,5000,0,1,"BOURNE, Shearjashub",B000671,1746.0,1806.0,0.935,0.108,-19.119,0.823,98,6,,0.972,0.131
2,House,3541,3,3,MA,4000,0,1,"GERRY, Elbridge",G000139,1744.0,1814.0,0.528,0.849,-39.4858,0.607,79,23,,0.505,0.729
2,House,3674,3,2,MA,5000,0,1,"GOODHUE, Benjamin",G000286,1748.0,1814.0,0.779,0.057,-23.30414,0.784,96,11,,0.903,-0.43
2,House,5611,3,6,MA,5000,1,1,"LEONARD, George",L000246,1729.0,1819.0,0.842,0.37,-9.19459,0.79,39,5,,0.903,-0.361
2,House,8344,3,4,MA,5000,0,1,"SEDGWICK, Theodore",S000222,1746.0,1813.0,0.835,0.345,-13.94506,0.83,75,4,,0.821,0.068
2,House,9268,3,8,MA,5000,0,1,"THACHER, George",T000141,1754.0,1824.0,0.835,0.502,-42.75845,0.641,96,23,,0.999,-0.032
